date,TRANSACTION_TYPE,TOTAL_TRANSACTIONS,TOTAL_SALES,TOTAL_UNITS,TOTAL_COUPONS
1/1/2016,S,1604,101482.59,8046,769
1/2/2016,S,2669,174602.55,13305,1446
1/3/2016,S,2298,152357.03,11795,1324
1/4/2016,S,1967,109492.91,9075,947
1/5/2016,S,1796,108041.47,8424,662
1/6/2016,S,1867,110355.05,8896,716
1/7/2016,S,1872,101447.95,8668,860
1/8/2016,S,1874,105293.55,8676,895
1/9/2016,S,2502,161562.68,12686,1245
1/10/2016,S,2138,134339.35,10685,930
1/11/2016,S,1651,95730.96,8060,721
1/12/2016,S,1725,89085.27,7585,735
1/13/2016,S,1511,88220.92,7398,705
1/14/2016,S,1621,87284.68,7592,734
1/15/2016,S,1909,106820.34,8901,945
1/16/2016,S,2354,155987.69,12130,1134
1/17/2016,S,2116,142511.15,11225,989
1/18/2016,S,2281,153107.82,11803,1070
1/19/2016,S,1479,85857.46,6982,568
1/20/2016,S,1754,96853.72,8263,773
1/21/2016,S,1766,99525.37,8511,794
1/22/2016,S,1947,118827.49,9334,805
1/23/2016,S,97,5855.15,518,39
1/24/2016,S,1704,112826.84,9468,680
1/25/2016,S,1506,80451.89,7044,584
1/26/2016,S,1616,87326.81,8180,686
1/27/2016,S,1771,92694.99,8387,664
1/28/2016,S,1629,84929.32,7595,689
1/29/2016,S,1730,93264.32,7871,711
1/30/2016,S,2481,167645.43,13206,1048
1/31/2016,S,2119,150350.44,11819,926
2/1/2016,S,1638,84701.04,7589,679
2/2/2016,S,1659,91196.33,8303,691
2/3/2016,S,1312,69528.74,6220,631
2/4/2016,S,1722,97765.77,8871,834
2/5/2016,S,1543,89688.88,7915,719
2/6/2016,S,2283,158785.63,12975,1219
2/7/2016,S,2134,128839.73,10868,1128
2/8/2016,S,1404,77360.76,7295,588
2/9/2016,S,1587,85669.51,7623,766
2/10/2016,S,1622,84498.83,7589,791
2/11/2016,S,1543,78411.51,7138,688
2/12/2016,S,1725,97829.83,7855,936
2/13/2016,S,1832,127178.55,10061,1060
2/14/2016,S,1546,108570.99,7937,781
2/15/2016,S,1721,112495.77,8917,918
2/16/2016,S,1307,69173.74,6365,617
2/17/2016,S,1697,99273.37,8509,737
2/18/2016,S,1687,85215.62,7971,745
2/19/2016,S,1703,87604.75,7794,848
2/20/2016,S,2427,143939.68,12589,1271
2/21/2016,S,2159,127615.14,11363,1016
2/22/2016,S,1729,88683.62,7992,827
2/23/2016,S,1279,66262.79,5926,568
2/24/2016,S,1200,67250.02,5958,469
2/25/2016,S,1548,94383.19,8000,696
2/26/2016,S,1658,85199.95,7889,715
2/27/2016,S,2288,144983.5,12168,1046
2/28/2016,S,2300,145553.9,12381,1005
2/29/2016,S,1699,90899.17,8370,665
3/1/2016,S,1711,90981.48,8393,609
3/2/2016,S,1515,92290.95,8227,549
3/3/2016,S,1524,84039.1,7346,582
3/4/2016,S,1530,82790.43,7464,496
3/5/2016,S,2285,143897.75,12210,822
3/6/2016,S,2200,141615.91,12213,790
3/7/2016,S,1607,81599.05,7999,546
3/8/2016,S,1611,76181.29,7827,643
3/9/2016,S,1588,76714.89,7685,662
3/10/2016,S,1562,78044.47,7159,672
3/11/2016,S,1735,92336.75,8500,662
3/12/2016,S,2338,140172.61,12413,867
3/13/2016,S,2069,131830.17,11043,804
3/14/2016,S,1245,63960.56,6013,449
3/15/2016,S,1644,92937.89,8561,724
3/16/2016,S,1720,84597.61,8062,799
3/17/2016,S,1674,90328.01,8222,846
3/18/2016,S,1769,91161.18,8775,797
3/19/2016,S,2298,144702.45,12252,1101
3/20/2016,S,2051,131094.26,10826,970
3/21/2016,S,1674,88840.05,8190,709
3/22/2016,S,1687,82463.58,7902,804
3/23/2016,S,1618,86038.44,7919,768
3/24/2016,S,1711,95142.16,8166,903
3/25/2016,S,1909,102502.95,9316,989
3/26/2016,S,2289,147667.47,12211,1336
3/27/2016,S,1840,117299.4,9527,1009
3/28/2016,S,1606,79666.29,7515,776
3/29/2016,S,1700,88075.1,7972,787
3/30/2016,S,1612,81084.53,7770,878
3/31/2016,S,1758,92082.3,8229,947
4/1/2016,S,1704,99428.03,8457,910
4/2/2016,S,2440,156142.2,13147,1367
4/3/2016,S,2120,143845.01,11855,1141
4/4/2016,S,1446,72858.81,6664,743
4/5/2016,S,1628,87525.3,7918,737
4/6/2016,S,1592,80556.5,7397,725
4/7/2016,S,1509,76070.72,7147,709
4/8/2016,S,1752,92824.9,8173,866
4/9/2016,S,2073,134236.64,10901,1088
4/10/2016,S,2218,144911.78,11987,1173
4/11/2016,S,1668,87597.66,7837,684
4/12/2016,S,1613,85331.47,7793,702
4/13/2016,S,1684,85375.02,7638,804
4/14/2016,S,1680,93474.83,7747,832
4/15/2016,S,1880,112390.95,9132,996
4/16/2016,S,2366,151064.01,12543,1332
4/17/2016,S,2153,144059.52,12023,1259
4/18/2016,S,1818,96288.68,8602,944
4/19/2016,S,1798,93876.89,8376,961
4/20/2016,S,1837,95577.04,8709,994
4/21/2016,S,1858,102569.02,9682,999
4/22/2016,S,1901,114479.0,9706,962
4/23/2016,S,2334,155829.92,12890,1317
4/24/2016,S,2350,148499.17,12024,1322
4/25/2016,S,1913,93086.09,8625,1016
