date,maximum temperature,minimum temperature,average temperature,precipitation,snow fall,snow depth
2016-01-01 00:00:00,42,34,38.0,0.00,0.0,0
2016-01-02 00:00:00,40,32,36.0,0.00,0.0,0
2016-01-03 00:00:00,45,35,40.0,0.00,0.0,0
2016-01-04 00:00:00,36,14,25.0,0.00,0.0,0
2016-01-05 00:00:00,29,11,20.0,0.00,0.0,0
2016-01-06 00:00:00,41,25,33.0,0.00,0.0,0
2016-01-07 00:00:00,46,31,38.5,0.00,0.0,0
2016-01-08 00:00:00,46,31,38.5,0.00,0.0,0
2016-01-09 00:00:00,47,40,43.5,,0.0,0
2016-01-10 00:00:00,59,40,49.5,1.80,0.0,0
2016-01-11 00:00:00,40,26,33.0,0.00,0.0,0
2016-01-12 00:00:00,44,25,34.5,0.00,,0
2016-01-13 00:00:00,30,22,26.0,0.00,0.0,0
2016-01-14 00:00:00,38,22,30.0,0.00,,0
2016-01-15 00:00:00,51,34,42.5,,0.0,0
2016-01-16 00:00:00,52,42,47.0,0.24,0.0,0
2016-01-17 00:00:00,42,30,36.0,0.05,0.4,0
2016-01-18 00:00:00,31,18,24.5,,,
2016-01-19 00:00:00,28,16,22.0,0.00,0.0,
2016-01-20 00:00:00,37,27,32.0,0.00,0.0,
2016-01-21 00:00:00,36,26,31.0,0.00,0.0,0
2016-01-22 00:00:00,30,21,25.5,0.01,0.2,0
2016-01-23 00:00:00,27,24,25.5,2.31,27.3,6
2016-01-24 00:00:00,35,20,27.5,,,22
2016-01-25 00:00:00,39,28,33.5,0.00,0.0,19
2016-01-26 00:00:00,48,38,43.0,0.00,0.0,17
2016-01-27 00:00:00,47,34,40.5,,0.0,9
2016-01-28 00:00:00,42,32,37.0,0.00,0.0,6
2016-01-29 00:00:00,41,30,35.5,0.00,0.0,6
2016-01-30 00:00:00,39,28,33.5,0.00,0.0,6
2016-01-31 00:00:00,56,36,46.0,0.00,0.0,4
2016-02-01 00:00:00,59,44,51.5,0.01,0.0,2
2016-02-02 00:00:00,50,38,44.0,0.00,0.0,
2016-02-03 00:00:00,59,42,50.5,0.73,0.0,0
2016-02-04 00:00:00,59,44,51.5,,0.0,0
2016-02-05 00:00:00,44,31,37.5,0.53,2.5,1
2016-02-06 00:00:00,40,30,35.0,0.00,0.0,0
2016-02-07 00:00:00,47,33,40.0,0.00,0.0,0
2016-02-08 00:00:00,39,28,33.5,0.05,0.1,0
2016-02-09 00:00:00,36,27,31.5,0.00,,
2016-02-10 00:00:00,39,31,35.0,0.01,,0
2016-02-11 00:00:00,31,18,24.5,,,0
2016-02-12 00:00:00,27,15,21.0,0.00,0.0,0
2016-02-13 00:00:00,22,6,14.0,0.00,0.0,0
2016-02-14 00:00:00,15,-1,7.0,0.00,0.0,0
2016-02-15 00:00:00,35,13,24.0,0.44,1.4,0
2016-02-16 00:00:00,54,35,44.5,1.01,0.0,0
2016-02-17 00:00:00,39,35,37.0,0.00,0.0,0
2016-02-18 00:00:00,36,27,31.5,0.00,0.0,0
2016-02-19 00:00:00,39,24,31.5,0.00,0.0,0
2016-02-20 00:00:00,61,39,50.0,0.00,0.0,0
2016-02-21 00:00:00,55,44,49.5,0.03,0.0,0
2016-02-22 00:00:00,52,38,45.0,0.00,0.0,0
2016-02-23 00:00:00,40,35,37.5,0.30,,0
2016-02-24 00:00:00,60,36,48.0,1.22,0.0,0
2016-02-25 00:00:00,61,37,49.0,0.02,0.0,0
2016-02-26 00:00:00,39,27,33.0,0.00,0.0,0
2016-02-27 00:00:00,41,26,33.5,0.00,0.0,0
2016-02-28 00:00:00,60,38,49.0,0.00,0.0,0
2016-02-29 00:00:00,61,47,54.0,0.05,0.0,0
2016-03-01 00:00:00,52,39,45.5,0.00,0.0,0
2016-03-02 00:00:00,55,29,42.0,0.14,0.0,0
2016-03-03 00:00:00,36,26,31.0,0.00,0.0,0
2016-03-04 00:00:00,39,30,34.5,0.11,0.4,
2016-03-05 00:00:00,41,28,34.5,0.00,0.0,0
2016-03-06 00:00:00,44,32,38.0,0.00,0.0,0
2016-03-07 00:00:00,60,36,48.0,0.00,0.0,0
2016-03-08 00:00:00,67,47,57.0,0.00,0.0,0
2016-03-09 00:00:00,77,44,60.5,0.00,0.0,0
2016-03-10 00:00:00,79,63,71.0,0.00,0.0,0
2016-03-11 00:00:00,68,48,58.0,0.06,0.0,0
2016-03-12 00:00:00,59,40,49.5,0.00,0.0,0
2016-03-13 00:00:00,62,50,56.0,,0.0,0
2016-03-14 00:00:00,51,40,45.5,0.29,0.0,0
