DATE,TRANSACTION_TYPE,TOTAL_TRANSACTIONS,TOTAL_SALES,TOTAL_UNITS,TOTAL_COUPONS,TOTAL_RETURN_SALES,TOTAL_RETURN_UNITS
1/1/2016,S,1604,101482.59,8046,769,0,0
1/1/2016,R,107,0,0,0,7631.56,169
1/2/2016,S,2669,174602.55,13305,1446,0,0
1/2/2016,R,214,0,0,0,13213.79,359
1/3/2016,S,2298,152357.03,11795,1324,0,0
1/3/2016,R,242,0,0,0,15242.25,414
1/4/2016,S,1967,109492.91,9075,947,0,0
1/4/2016,R,169,0,0,0,9512.64,296
1/5/2016,S,1796,108041.47,8424,662,0,0
1/5/2016,R,132,0,0,0,8429.03,240
1/6/2016,S,1867,110355.05,8896,716,0,0
1/6/2016,R,156,0,0,0,8874.51,279
1/7/2016,S,1872,101447.95,8668,860,0,0
1/7/2016,R,147,0,0,0,7914.98,203
1/8/2016,S,1874,105293.55,8676,895,0,0
1/8/2016,R,149,0,0,0,9722.82,284
1/9/2016,S,2502,161562.68,12686,1245,0,0
1/9/2016,R,190,0,0,0,11777.7,322
1/10/2016,S,2138,134339.35,10685,930,0,0
1/10/2016,R,201,0,0,0,13906.07,341
1/11/2016,S,1651,95730.96,8060,721,0,0
1/11/2016,R,127,0,0,0,9493.35,195
1/12/2016,S,1725,89085.27,7585,735,0,0
1/12/2016,R,135,0,0,0,7711.53,219
1/13/2016,S,1511,88220.92,7398,705,0,0
1/13/2016,R,114,0,0,0,6009.81,175
1/14/2016,S,1621,87284.68,7592,734,0,0
1/14/2016,R,99,0,0,0,5304.21,134
1/15/2016,S,1909,106820.34,8901,945,0,0
1/15/2016,R,132,0,0,0,10257.19,223
1/16/2016,S,2354,155987.69,12130,1134,0,0
1/16/2016,R,212,0,0,0,17240.9,376
1/17/2016,S,2116,142511.15,11225,989,0,0
1/17/2016,R,168,0,0,0,12759.8,298
1/18/2016,S,2281,153107.82,11803,1070,0,0
1/18/2016,R,204,0,0,0,15911.16,392
1/19/2016,S,1479,85857.46,6982,568,0,0
1/19/2016,R,107,0,0,0,5997.81,159
1/20/2016,S,1754,96853.72,8263,773,0,0
1/20/2016,R,133,0,0,0,7306.33,271
1/21/2016,S,1766,99525.37,8511,794,0,0
1/21/2016,R,114,0,0,0,8344.07,214
1/22/2016,S,1947,118827.49,9334,805,0,0
